人物1,小类关系,大类关系,人物2
林长民,女婿,女婿,梁思成
林长民,孙女,孙女,林璎
林长民,堂弟,堂弟,林觉民
林詹森,父亲,父亲,林志颖
林则徐,好友,朋友,龚自珍
林则徐,女儿,女儿,林普晴
林则徐,女婿,女婿,沈葆桢
林早早,丈夫,丈夫,于嘉
林在山,父亲,父亲,林行止
林在培[台湾男演员],妻子,妻子,紫琳
林在范,搭档,合作,郑妍周
林在范,搭档,合作,朴珍荣
林在范,队友,合作,段宜恩
林允儿,搭档,合作,赵韩樱子
林允儿,队友,合作,崔秀英
林允儿,队友,合作,郑秀妍
林允儿,绯闻,绯闻,鹿晗
林允儿,绯闻,绯闻,张根锡
林允儿,好友,朋友,具惠善
林允儿,好友,朋友,具慧善
林允儿,好友,朋友,尹恩惠
林允儿,好友,朋友,孙艺珍
林允,伯乐,老师,周星驰
林允,搭档,合作,张雨绮
林允,搭档,合作,邓超
林跃,搭档,合作,火亮
林跃,队友,合作,周吕鑫
林跃,教练,老师,于芬
林跃,母亲,母亲,郑小英
林月云[闽南语演员],女儿,女儿,侯佩岑
林月云[闽南语演员],女婿,女婿,黄伯俊
林月云,女儿,女儿,侯佩岑
林月云,女婿,女婿,黄伯俊
林月如,女儿,女儿,李忆如
林月如,丈夫,丈夫,李逍遥
林月琴,配偶,情人,罗荣桓
林约希,父亲,父亲,林兆波
林约希,哥哥,哥哥,林节思
林约希,母亲,母亲,林郑月娥
林瑗娥,对手,敌人,辛皓泽 聂勋涵
林瑗娥,好友,朋友,龙霏兰 叶峻涛
林远图,曾孙,曾孙,林平之
林远图,儿子,儿子,林仲雄
林远图,儿子,儿子,林伯奋
林远图,孙子,孙子,林震南
林源[中国内地女演员],搭档,合作,陈乔恩
林源[中国内地女演员],搭档,合作,罗晋
林源[中国内地女演员],好友,朋友,张煜枫
林原惠美,搭档,合作,奥井雅美
林原惠美,搭档,合作,水谷优子
林元春[香港著名配音演员],家人,家人,姐姐林丹凤
林育群,搭档,合作,王心凌
林育群,好友,朋友,郑元畅
林玉招,前夫,丈夫,高凌风
林玉仙,上司,上司,严森
林玉[小说人物],老师,老师,飞剑仙朱亮
林语堂,配偶,情人,廖翠凤
林禹翔,粉丝,粉丝,香芋
林禹翔,偶像,偶像,周杰伦
林雨妍,妹妹,妹妹,林羽凡
林雨宣,搭档,合作,孟耿如
林雨申,搭档,合作,朱杰
林雨申,母亲,母亲,李小婉
林雨申,配偶,情人,杨雨辰
林雨柔,对手,敌人,林珑
林雨柔,好友,朋友,Rita等
林雨柔,好友,朋友,墨俐
林雨柔,好友,朋友,陈浩威
林雨柔,姐姐,姐姐,林珑
林雨柔,情敌,情人,墨俐
林雨柔,情敌,情人,李珊
林雨柔,情敌,情人,林珑
林雨柔,叔叔,叔叔,沈慕光
林雨柔,养父,父亲,愚自老人
林雨柔,丈夫,丈夫,何仲文
林雨柔,追求者,追求者,陈浩威
林雨琨,父亲,父亲,林清风
林雨琨,姐姐,姐姐,林水瑶
林雨琨,祖父,祖父,老城主
林雨寒,祖母,祖母,应欢欢
林雨寒,祖父,祖父,“武祖”林动
林宇中,同门,同学,金莎
林宇婧,初恋,情人,余罪
林宇婧,情敌,情人,安嘉璐
林宇婧,丈夫,丈夫,余罪
林宇凰,爱人,情人,重莲
林宇凰,女儿,女儿,重雪芝林奉紫
林屿森[言情小说《骄阳似我》的男主角],女友,女友,聂曦光
林屿森[言情小说《骄阳似我》的男主角],情敌,情人,庄序
林予宁,父母,父母,郑微
林予宁,父母,父母,林静
林于超,妻子,妻子,林依晨
林宥嘉,搭档,合作,朱雨辰
林宥嘉,搭档,合作,张静初
林宥嘉,妻子,妻子,丁文琪
林宥嘉,前女友,女友,邓紫棋
林宥宸,好友,朋友,林弯弯
林宥宸,好友,朋友,歌浴森
林佑威,搭档,合作,潘玮柏
林佑威,队友,合作,李威
林佑威,队友,合作,路斯明
林佑威,前女友,女友,林韦君
林佑威,昔日情敌,情敌,许绍洋
林友树,搭档,合作,泽野弘之
林友树,好友,朋友,横山克
林永忠[《神探狄仁杰》中的人物],扮演者,扮演,龙沐春
林永忠[《神探狄仁杰》中的人物],老师,老师,狄仁杰
林永忠[《神探狄仁杰》中的人物],女儿,女儿,锦娘
林永健[演员],搭档,合作,李依馨
林永健[演员],搭档,合作,张晞临
林永健[演员],儿子,儿子,林大竣
林永健[演员],好友,朋友,梁振伦
林永健[演员],妻子,妻子,周冬齐
林永健,传闻不和,敌人,邓建国
林永健,搭档,合作,张瑞希
林永健,搭档,合作,马超
林永健,搭档,合作,韩雪
林永健,合作,合作,李菁菁
林永健,老乡,老乡,秦丽
林永健,老乡,老乡,高满堂
林永健,妻子,妻子,周冬齐
林永健,影视搭档,合作,姚芊羽
林永健,影视搭档,合作,张晞临
林永健,影视搭档,合作,罗晋
林颖娴,队友,合作,罗明珠
林颖娴,队友,合作,罗美薇
林颖娴,队友,合作,林珊珊
林颖娴,队友,合作,柏安妮
林颖娴,队友,合作,陈加玲
林颖娴,队友,合作,李丽珍
林颖娴,队友,合作,何佩儿
林颖娴,队友,合作,袁洁莹
林盈臻,搭档,合作,贺军翔
林盈臻,队友,合作,刘宇珊
林盈臻,好友,朋友,陈庭萱
林盈臻,好友,朋友,洪诗
林璎,姑父,姑父,梁思成
林璎,姑姑,姑姑,林徽因
林璎,老师,老师,萧乾
林璎,祖父,祖父,林长民
林英雄,父亲,父亲,林致远
林英雄,妻子,妻子,白木喜
林尹民,哥哥,哥哥,林觉民
林尹民,侄子,侄子,林徽因
林逸[小说《校花的贴身高手》男主角],女友,女友,冯笑笑等
林逸[小说《校花的贴身高手》男主角],女友,女友,楚梦瑶
林逸[小说《校花的贴身高手》男主角],女友,女友,唐韵
林奕勋,搭档,合作,黄少谷
林奕勋,妻子,妻子,游爱宝
林奕匡,同门,同学,陈柏宇
林忆莲[华语流行乐女歌手、影视演员],搭档,合作,常石磊
林忆莲[华语流行乐女歌手、影视演员],好友,朋友,刘美君
林忆莲[华语流行乐女歌手、影视演员],好友,朋友,梅艳芳
林忆莲[华语流行乐女歌手、影视演员],女儿,女儿,李喜儿
林忆莲[华语流行乐女歌手、影视演员],前夫,丈夫,李宗盛
林忆莲[华语流行乐女歌手、影视演员],丈夫,丈夫,恭硕良
林忆莲,初恋,情人,陈辉虹
林忆莲,搭档,合作,伦永亮
林忆莲,搭档,合作,常石磊
林忆莲,好友,朋友,梅艳芳
林忆莲,好友,朋友,张学友
林忆莲,好友,朋友,刘美君
林忆莲,女儿,女儿,李喜儿
林忆莲,好友,朋友,陈百强
林忆莲,前夫,丈夫,李宗盛
林忆莲,丈夫,丈夫,恭硕良
林宜芝,搭档,合作,钟采羲
林宜芝,搭档,合作,吉泽明步
林宜芝,同门,同学,陈静
林怡凤,圈内好友,朋友,阿杜等
林怡凤,圈内好友,朋友,张韶涵
林怡凤,圈内好友,朋友,林俊杰
林依婷,搭档,合作,毕福剑
林依婷,搭档,合作,汪正正
林依轮,传闻不和,敌人,周瑾
林依轮,传闻不和,敌人,郑佩佩
林依轮,搭档,合作,孙悦
林依轮,好友,朋友,杨钰莹
林依轮,好友,朋友,赵嘉伟
林依晨,搭档,合作,王阳明
林依晨,搭档,合作,吴尊
林依晨,搭档,合作,冯绍峰
林依晨,搭档,合作,施易男
林依晨,搭档,合作,陈柏霖
林依晨,搭档,合作,魏千翔
林依晨,搭档,合作,陈彦妃
林依晨,闺蜜,闺蜜,陈妍希
林依晨,好友,朋友,蔡颐榛
林依晨,好友,朋友,许玮伦
林依晨,好友,朋友,蔡君茹
林依晨,好友,朋友,炎亚纶
林依晨,好友,朋友,魏如萱
林依晨,好友,朋友,梁文音
林依晨,好友,朋友,陈妍希
林依晨,经纪人,经纪人,周美豫
林依晨,好友,朋友,蔡宜臻
林依晨,丈夫,丈夫,林于超
林伊婷,搭档,合作,曹云金
林一轩,儿子,儿子,闹闹
林一轩,好友,朋友,魏继阳
林一轩,妻子,妻子,乃梦
林一轩,前女友,女友,唐敏熙
林一轩,情敌,情人,刘葛
林一轩,情敌,情人,魏继阳
林一轩,下属,下属,孙琳
林一轩,下属,下属,任屹
林一轩,追求者,追求者,李朵
林一轩,追求者,追求者,吉米
林一木[电视剧《漂亮的李慧珍》中人物],情敌,情人,白皓宇
林一峰[香港男歌手],好友,朋友,麦浚龙
林一峰[香港男歌手],好友,朋友,黄家强
林一峰[香港男歌手],妹妹,妹妹,林二汶
林一峰,好友,朋友,黄家强
林一峰,好友,朋友,麦浚龙
林一峰,妹妹,妹妹,林二汶
林耀文,绯闻女友,绯闻,林家嘉
林遥焕,妻子,妻子,金佳妍
林杨[《你好，旧时光》小说男主角],好友,朋友,耿耿
林杨[《你好，旧时光》小说男主角],好友,朋友,余淮
林杨[《你好，旧时光》小说男主角],好友,朋友,蒋川
林杨[《你好，旧时光》小说男主角],好友,朋友,凌翔茜
林杨[《你好，旧时光》小说男主角],妻子,妻子,余周周
林燕妮,前夫,丈夫,李忠琛
林炎[玄幻小说《武动乾坤》中的主角],大哥,哥哥,林动
林炎[玄幻小说《武动乾坤》中的主角],大嫂,嫂子,绫清竹
林炎[玄幻小说《武动乾坤》中的主角],大嫂,嫂子,应欢欢
林炎[玄幻小说《武动乾坤》中的主角],二哥,哥哥,林貂
林亚霖,绯闻,绯闻,刘子千
林雅诗,搭档,合作,麦家琪
林雅诗,搭档,合作,黎耀祥
林雪柔,闺蜜,闺蜜,周媛媛
林雪莲,妹妹,妹妹,陈巧菊
林雪莲,妹妹,妹妹,黄梅儿
林雪莲,丈夫,丈夫,谢杨柳
林雪怀,前女友,女友,胡蝶
林雪[香港艺人],搭档,合作,任达华
林雪,搭档,合作,任达华
林旭,好友,朋友,谭嗣同
林岫,前夫,丈夫,范曾
林秀香[韩国女演员],搭档,合作,成勋
林秀香[韩国女演员],搭档,合作,金贤重
林秀香,搭档,合作,成勋
林秀香,搭档,合作,金贤重
林秀琴[台湾职棒明星球员陈致远妻子],丈夫,丈夫,陈致远
林秀琴,好友,朋友,傅天颖
林秀琴,丈夫,丈夫,陈致远
林秀玲[台湾演员],配偶,情人,姚卓君
林秀君,女儿,女儿,周幼婷
林秀晶,搭档,合作,苏志燮
林欣彤[中国香港歌手],好友,朋友,许廷铿
林欣彤,好友,朋友,许廷铿
林欣荣,女儿,女儿,林姮怡
林心如,传闻不和,敌人,刘品言
林心如,传闻不和,敌人,贾静雯
林心如,搭档,合作,王艳
林心如,搭档,合作,陈坤
林心如,搭档,合作,王琳
林心如,搭档,合作,孙菲菲
林心如,搭档,合作,吴奇隆
林心如,搭档,合作,高希希
林心如,搭档,合作,温兆伦
林心如,搭档,合作,赵敏芬
林心如,搭档,合作,张卫健
林心如,搭档,合作,秦俊杰
林心如,搭档,合作,张柏芝
林心如,搭档,合作,范冰冰
林心如,搭档,合作,刘丹
林心如,搭档,合作,严宽
林心如,搭档,合作,王雨
林心如,搭档,合作,郭德纲
林心如,搭档,合作,冯远征
林心如,绯闻,绯闻,杨一展
林心如,绯闻,绯闻,钟汉良
林心如,闺蜜,闺蜜,章子怡
林心如,闺蜜,闺蜜,林熙蕾
林心如,闺蜜,闺蜜,秦海璐
林心如,闺蜜,闺蜜,舒淇
林心如,好友,朋友,赵薇
林心如,好友,朋友,马天宇
林心如,好友,朋友,洪小玲
林心如,好友,朋友,徐若瑄
林心如,好友,朋友,唐季礼
林心如,好友,朋友,蔡君茹
林心如,好友,朋友,刘涛
林心如,好友,朋友,秦海璐
林心如,好友,朋友,任贤齐
林心如,合作演员,合作,贾乃亮
林心如,妹妹,妹妹,林艾为
林心如,密友,朋友,蔡君茹
林心如,密友,朋友,苏有朋
林心如,好友,朋友,姚元浩
林心如,影视搭档,合作,惠英红
林心如,丈夫,丈夫,霍建华
林燮,妻子,妻子,晋阳长公主
林燮,挚友,朋友,言阙
林笑笑[电视剧《咱们相爱吧》女主角],闺蜜,闺蜜,潘芝芝
林笑笑[电视剧《咱们相爱吧》女主角],闺蜜,闺蜜,蔡春妮
林笑笑[电视剧《咱们相爱吧》女主角],前夫,丈夫,简放
林孝贤,妹妹,妹妹,林恬儿
林孝贤,母亲,母亲,谢玲玲
林孝贤,前女友,女友,吴家欣
林孝贤,前女友,女友,阿娇
林孝贤,前女友,女友,应采儿
林孝贤,祖父,祖父,林百欣
林孝谦,好友,朋友,郭碧婷
林筱雨,舅舅,舅舅,左光宗
林筱雨,未婚夫,丈夫,李剑
林晓芸,丈夫,丈夫,宋康华
林晓培,搭档,合作,于湉
林晓霖,弟弟,弟弟,林立果
林晓霖,母亲,母亲,张梅
林晓黎,好友,朋友,楚雨荨
林晓黎,女友,女友,慕容云朵
林晓黎,情敌,情人,叶烁
林晓峰[中国香港演员、主持人],姐姐,姐姐,林珊珊
林晓峰[中国香港演员、主持人],舅舅,舅舅,狄龙
林晓峰[中国香港演员、主持人],妻子,妻子,康子妮
林晓峰,大姐,姐姐,林珊珊
林晓峰,哥哥,哥哥,林海峰
林晓峰,舅舅,舅舅,狄龙
林晓峰,好友,朋友,郑伊健
林晓峰,妻子,妻子,康子妮
林小群,合作,合作,吕玉郎
林小群,合作,合作,马师曾
林小群,合作,合作,红线女
林小群,老师,老师,靓少佳
林小群,老师,老师,郎筠玉
林小米,闺蜜,闺蜜,白跃
林萧[小说《小时代》人物],好友,朋友,Neil等
林萧[小说《小时代》人物],好友,朋友,顾里
林萧[小说《小时代》人物],好友,朋友,南湘
林萧[小说《小时代》人物],好友,朋友,唐宛如
林湘湘,丈夫,丈夫,公明
林湘萍,搭档,合作,翁清海
林湘萍,丈夫,丈夫,Alex
林仙儿,女儿,女儿,上官小仙
林夏薇,搭档,合作,洪永城
林夏薇,好友,朋友,林鹏
林夏薇,堂哥,堂哥,林峰
林熙越,父亲,父亲,林兆华
林熙棠,学生,学生,皓帝
林熙棠,学生,学生,李方青
林熙棠,学生,学生,临江王
林熙棠,孩子,家人,帝国双璧提及
林熙棠,妻子,妻子,帝国双璧提及
林熙棠,义子,儿子,千夜
林熙蕾,搭档,合作,蔡鹏飞
林熙蕾,搭档,合作,薛佳凝
林熙蕾,搭档,合作,刘嘉玲
林熙蕾,好友,朋友,舒淇
林熙蕾,好友,朋友,林心如
林熙蕾,合作,合作,纪亚文
林熙蕾,昔日情敌,情敌,孟广美
林熙蕾,昔日情敌,情敌,尹馨
林熙蕾,丈夫,丈夫,杨晨
林溪[中国之声主持人],喜欢的歌手,偶像,陈奕迅
林溪[中国之声主持人],喜欢的歌手,偶像,王菲
林溪[中国之声主持人],喜欢的歌手,偶像,Macy Gray
林奚,丈夫,丈夫,萧平旌
林夕阁,合作伙伴,合作,SEOWHY
林夕[中国香港词作人、创作总监],搭档,合作,杨千嬅
林夕[中国香港词作人、创作总监],搭档,合作,小柯
林夕[中国香港词作人、创作总监],搭档,合作,陈奕迅
林夕,搭档,合作,王菲
林夕,搭档,合作,张国荣
林夕,搭档,合作,杨千嬅
林夕,搭档,合作,陈奕迅
林夕,好友,朋友,黄耀明
林夕,好友,朋友,李焯雄
林夕,学生,学生,林若宁
林文之,父亲,父亲,林公永
林文月,表弟,表弟,连战
林文清,配偶,情人,吴宽美
林文龙,搭档,合作,杨恭如
林文龙,绯闻女友,绯闻,黎姿
林文龙,女儿,女儿,林天若
林文龙,配偶,情人,郭可盈
林文龙,妻子,妻子,郭可盈
林文龙,岳父,姑父,郭达昌
林文慧,丈夫,丈夫,梁汉文
林未央,恋人,情人,夏孤临
林暐哲,前女友,女友,杨乃文
林炜[中国台湾男演员],妻子,妻子,龚慈恩
林炜,妻子,妻子,龚施茜
林伟健,同学,同学,黄日华
林伟[中国香港男演员],同学,同学,李嘉欣
林维良,女儿,女儿,林凤娇
林韦辰,好友,朋友,陶大宇
林韦辰,好友,朋友,郭政鸿
林韦辰,好友,朋友,万绮雯
林韦辰,密友,朋友,郭政鸿
林韦辰,密友,朋友,万绮雯
林韦辰,前女友,女友,吕晶晶
林威[中国香港艺人],搭档,合作,成龙
林威[中国香港艺人],搭档,合作,周星驰
林威[中国香港艺人],搭档,合作,张学友
林旺,配偶,情人,雌象马兰
林宛瑜,闺蜜,闺蜜,胡一菲
林宛瑜,闺蜜,闺蜜,陈美嘉
林宛瑜,闺蜜,闺蜜,唐悠悠
林宛瑜,好友,朋友,关谷神奇
林宛瑜,好友,朋友,吕子乔
林宛瑜,好友,朋友,曾小贤
林弯弯,好友,朋友,陌子轩
林弯弯,好友,朋友,连勋
林弯弯,好友,朋友,林宥宸
林庭木昂,亲属,家人,林瀚次子
林汀汀,姐夫,姐夫,许立仁Matt
林汀汀,姐姐,姐姐,林沛沛
林汀汀,未婚夫,丈夫,古泽琛Sam
林铁[开国河北省委第一书记，八届中央委员],配偶,情人,弓彤轩
林恬儿,哥哥,哥哥,林孝贤
林恬儿,母亲,母亲,谢玲玲
林恬儿,祖父,祖父,林百欣
林添进,学生,学生,前空军总司令黄显荣
林天宇,女儿,女儿,林雪【梓晓 饰】
林天宇,妻子,妻子,陈洁【姜宏波  饰】
林天宇,亲人,家人,妻子【已故】
林天宇,亲人,家人,女儿
林天佑[电视剧《因为爱情有奇迹》男二号],姐姐,姐姐,林天雅
林天佑[电视剧《因为爱情有奇迹》男二号],母亲,母亲,林秀琴
林天佑[电视剧《因为爱情有奇迹》男二号],前妻,妻子,安琪媛
林天佑[电视剧《因为爱情有奇迹》男二号],现任妻子,妻子,吴美姿
林天雅,弟弟,弟弟,林天佑
林天雅,母亲,母亲,林秀琴
林天雅,情敌,情人,安琪媛
林天若,母亲,母亲,郭可盈
林天若,外祖父,外祖父,郭达昌
林天南,女儿,女儿,林月如
林天南,外孙女,外孙女,李忆如
林天沐,好友,朋友,冯曼娜
林天沐,好友,朋友,周宇浩
林天沐,好友,朋友,蓝胭脂
林天沐,情敌,情人,蓝胭脂
林天沐,丈夫,丈夫,宋勉
林太乙,父亲,父亲,文学大师林语堂
林太平,恋人,情人,玉玲珑
林思意,队友,合作,万丽娜
林思意,队友,合作,张昕
林朔,女好友,朋友,叶汐
林水瑶,父亲,父亲,林清风
林水瑶,恋人,情人,骆时秋
林爽[中国内地女歌手、演员],搭档,合作,贾一平
林爽[中国内地女歌手、演员],搭档,合作,晋晗宁
林爽[中国内地女歌手、演员],老师,老师,邓玉华
林爽[中国内地女歌手、演员],老师,老师,张静芳
林爽[中国内地女歌手、演员],好友,朋友,李炳辰
林爽[中国内地女歌手、演员],偶像,偶像,王菲
林爽[中国内地女歌手、演员],偶像,偶像,张信哲
林爽[中国内地女歌手、演员],偶像,偶像,宋承宪等
林爽,搭档,合作,晋晗宁
林爽,好友,朋友,李炳辰
林爽,偶像,偶像,张信哲
林爽,老师,老师,邓玉华
林霜月,配偶,情人,卓南雁
林树森,好友,朋友,新马师曾
林摅,父亲,父亲,林邵
林舒语,好友,朋友,陈语安
林淑如,儿媳,儿媳,黄子容
林淑如,儿子,儿子,郭守正
林淑如,公公,公公,郭龄瑞
林淑如,女儿,女儿,郭晓玲
林淑如,配偶,情人,郭台铭
林淑如,丈夫,丈夫,郭台铭
林殊,亲属,家人,元帅林燮的独生子
林书豪,教练,老师,拜伦·斯科特
林书豪,母亲,母亲,吴信信
林世功,老师,老师,徐干
林氏族谱,始祖,祖先,林饴
林士佩,仇敌,仇人,蒋伯芳
林士佩,仇敌,仇人,胜英
林士佩,妹妹,妹妹,林素梅
林诗音,表哥,表哥,李寻欢
林诗音,儿子,儿子,龙小云
林诗音,义妹,妹妹,林仙儿
林诗音,丈夫,丈夫,龙啸云
林师杰,队友,合作,许廷铿
林生斌,大儿子,儿子,林柽一
林生斌,二女儿,女儿,林臻娅
林生斌,妻子,妻子,朱小贞
林生斌,小儿子,儿子,林清潼
林神,兄妹,兄妹,风神
林神,兄妹,兄妹,火神等
林神,兄妹,兄妹,山神
林申,搭档,合作,隋俊波
林申,搭档,合作,姚芊羽
林申,搭档,合作,李沁
林申,搭档,合作,唐一菲
林申,干妈,母亲,李少红
林申,母亲,母亲,李小婉
林申,好友,朋友,杨洋
林珊珊,传闻不和,敌人,舒淇
林珊珊,搭档,合作,罗美薇
林珊珊,弟弟,弟弟,林海峰
林珊珊,队友,合作,柏安妮
林珊珊,队友,合作,袁洁莹
林珊珊,队友,合作,林颖娴
林珊珊,队友,合作,陈加玲
林珊珊,队友,合作,罗明珠
林珊珊,队友,合作,李丽珍
林珊珊,二弟,弟弟,林海峰
林珊珊,舅舅,舅舅,狄龙
林珊珊,三弟,弟弟,林晓峰
林赛·罗韩,好友,朋友,莉莉·艾伦
林赛·罗韩,好友,朋友,斯嘉丽·约翰逊
林赛·罗韩,好友,朋友,帕丽斯·希尔顿
林赛·罗韩,妹妹,妹妹,艾莉·罗韩
林赛·罗韩,前女友,女友,萨曼莎·罗森
林若亚,丈夫,丈夫,孙志浩
林若宁,老师,老师,林夕
林瑞阳,次子,儿子,林秉翰
林瑞阳,儿子,儿子,林禹
林瑞阳,儿子,儿子,林秉翰
林瑞阳,女儿,女儿,林家菱
林瑞阳,配偶,情人,张庭
林瑞阳,妻子,妻子,张庭
林瑞阳,前妻,妻子,曾哲贞
林如意,前夫,丈夫,林文祥
林如海[清代小说《红楼梦》中人物],女儿,女儿,林黛玉
林如海[清代小说《红楼梦》中人物],妻子,妻子,贾敏
林如海,大舅子,大舅子,贾政
林如海,女儿,女儿,林黛玉
林如海,岳母,岳母,贾母
林如[原中央人民广播电台播音员],子女,子女,王雪纯
林泉[小说《小时代》中的人物],姐姐,姐姐,林汀
林权泽,儿子,儿子,权贤相
林秋菊,丈夫,丈夫,高耀宗
林清岩,情敌,情人,冯烨
林清玄,现任妻子,妻子,方淳珍
林清介,搭档,合作,刘瑞琪
林青霞[中国台湾女演员],好友,朋友,邓丽君
林青霞[中国台湾女演员],好友,朋友,钟楚红
林青霞[中国台湾女演员],好友,朋友,施南生
林青霞[中国台湾女演员],女儿,女儿,邢爱林
林青霞[中国台湾女演员],女儿,女儿,邢嘉倩
林青霞[中国台湾女演员],女儿,女儿,邢言爱
林青霞[中国台湾女演员],丈夫,丈夫,邢李原
林青霞,伯乐,老师,琼瑶
林青霞,次女,女儿,邢言爱
林青霞,搭档,合作,周绍栋
林青霞,搭档,合作,王家卫
林青霞,绯闻,绯闻,成龙
林青霞,分手,情人,王羽
林青霞,好友,朋友,徐克
林青霞,好友,朋友,三毛
林青霞,好友,朋友,邓丽君
林青霞,好友,朋友,施南生
林青霞,好友,朋友,张国荣
林青霞,继女,女儿,邢嘉倩
林青霞,密友,朋友,陶敏明
林青霞,密友,朋友,钟楚红
林青霞,好友,朋友,刘嘉玲
林青霞,情敌,情人,林凤娇
林青霞,长女,女儿,邢爱林
林青霞,丈夫,丈夫,邢李源
林青檀,爱人,情人,“武祖”林动
林青檀,父亲,父亲,林啸
林青檀,哥哥,哥哥,林动
林青檀,母亲,母亲,柳妍
林青檀,嫂子,嫂子,绫清竹
林青檀,嫂子,嫂子,应欢欢
林青檀,老师,老师,“黑暗之殿殿主”波玄
林青檀,侄女,侄女,林静
林青儿,女儿,女儿,赵灵儿
林青[中国航天科工党组纪检组组长、党组成员],前任,情人,刘汉滨
林巧稚,配偶,情人,单身
林乔[音乐创意人],搭档,合作,韩红
林遣都,搭档,合作,黑川智花
林浅,大嫂,嫂子,木寒夏
林浅,哥哥,哥哥,林莫臣
林浅,母亲,母亲,何清玲
林浅,女儿,女儿,厉承澜
林浅,丈夫,丈夫,厉致诚
林千钰,父亲,父亲,石英
林千钰,配偶,情人,焦恩俊
林千钰,丈夫,丈夫,焦恩俊
林颀,丈夫,丈夫,张船山
林颀,父亲,父亲,林儁
林颀,小叔子,小叔子,张问莱
林普晴,丈夫,丈夫,沈葆桢
林萍[大陆著名女歌手],老师,老师,陈汝佳
林平之,父母,父母,王夫人
林平之,父母,父母,林震南
林平之,妻子,妻子,岳灵珊
林平之,老师,老师,岳不群
林品如,爱人,情人,洪世贤
林品如,爱人,情人,高文彦
林鹏[中国内地女演员],好友,朋友,林夏薇
林鹏,好友,朋友,成龙
林佩环,丈夫,丈夫,张问陶
林佩环,父亲,父亲,林儁
林佩环,女儿,女儿,四女
林佩环,小叔子,小叔子,问莱
林宁,儿子,儿子,王思聪
林宁,丈夫,丈夫,王健林
林慕飞,扮演者,扮演,袁弘
林牧洁,丈夫,丈夫,蔡笃清
林默予,丈夫,丈夫,周楚
林莫臣,儿子,儿子,林深
林莫臣,好友,朋友,孙志
林莫臣,妹夫,妹夫,厉致诚
林莫臣,妹妹,妹妹,林浅
林莫臣,母亲,母亲,何清玲
林莫臣,女儿,女儿,林思寒
林莫臣,妻子,妻子,木寒夏
林莫臣,外甥女,外甥女,厉承澜
林铭[《武极天下》的主角],妻子,妻子,牧千雨
林铭[《武极天下》的主角],妻子,妻子,小魔仙
林铭[《武极天下》的主角],妻子,妻子,圣美
林铭[《武极天下》的主角],妻子,妻子,秦杏轩
林鸣鹤,弟弟,弟弟,林则徐
林明卿,父亲,父亲,林时朗
林明卿,妻子,妻子,陈氏
林明卿,子女,子女,林育荣即
林明卿,子女,子女,林庆佛
林明谦,女友,女友,曾宝仪
林明美,父亲,父亲,铃宝雄)
林明美,父亲,父亲,Lynn Paoshun
林明美,母亲,母亲,Lynn Shigeyo
林敏怡,弟弟,弟弟,林敏骢
林敏俐,表姐,表姐,刘倩婷
林敏君,弟弟,弟弟,林坤
林敏君,儿子,儿子,林嘉佑
林敏君,父亲,父亲,林诚
林敏君,继子,儿子,王英杰
林敏君,母亲,母亲,李好
林敏君,女儿,女儿,王慧仪
林敏君,堂妹,堂妹,林薇
林敏君,丈夫,丈夫,王绍华
林敏骢,第二任妻子,妻子,陈伶俐
林敏骢,姐姐,姐姐,林敏怡
林敏骢,好友,朋友,钟镇涛
林妙可,搭档,合作,罗晋
林妙可,搭档,合作,韩素媛
林妙可,搭档,合作,高梓淳
林妙可,搭档,合作,何明翰
林妙可,父亲,父亲,林晖
林妙可,好友,朋友,蒋依依
林妙可,好友,朋友,陆子艺
林妙可,好友,朋友,牛欣欣
林妙可,好友,朋友,黄嘉琪
林妙可,好友,朋友,香奈儿·辛普森
林妙可,好友,朋友,香奈儿
林妙可,好友,朋友,杨沛宜
林妙可,好友,朋友,胡世群
林妙可,母亲,母亲,刘喆平
林妙可,偶像,偶像,周杰伦
林妙可,好友,朋友,赵叶萱
林妙可,祖父,祖父,林锴
林苗[刘洲成前妻],前夫,丈夫,刘洲成
林梦飞,儿子,儿子,林华国
林梦飞,孙子,孙子,林峰
林美贞,好友,朋友,郑家榆
林美贞,前夫,丈夫,孙兴
林美照,好友,朋友,叶青
林美秀[台湾影视剧演员],好友,朋友,钟欣凌
林美秀[台湾影视剧演员],好友,朋友,宋新妮
林美秀[台湾影视剧演员],好友,朋友,徐誉庭
林美秀,密友,朋友,钟欣凌
林美秀,密友,朋友,徐誉庭
林美秀,密友,朋友,宋新妮
林美秀,好友,朋友,吴念真
林梅娇,前夫,丈夫,黄奕良
林茂生,配偶,情人,王采蘩
林隆璇,爱徒,学生,张韶涵
林隆璇,搭档,合作,张芸京
林隆璇,学生,学生,张韶涵
林岭东,爱徒,学生,张耀扬
林岭东,好友,朋友,杜琪峰
林岭东,同学,同学,吴孟达
林岭东,学生,学生,张耀扬
林零,爱人,情人,亚瑟
林零,好友,朋友,凯
林零,好友,朋友,兰斯洛特
林零,好友,朋友,默林等
林菱,队友,合作,帖雅娜
林菱,教练,老师,李惠芬
林良铭[中国足球运动员],偶像,偶像,C罗 贝尔 罗本
林利南,搭档,合作,邰正宵
林丽莹[吴尊的妻子],儿子,儿子,Max
林丽莹[吴尊的妻子],女儿,女儿,吴欣怡
林丽莹[吴尊的妻子],配偶,情人,吴尊
林丽莹[文莱艺人吴尊妻子],儿子,儿子,Max
